Lieferadresse,Adresse de livraison,
Rechnungsadresse,Adresse de facturation,
Offerte,Offre,
Offertenpositionen,Détails de l‘offre,
Artikel-Nr.,Réf. Article,
Beschreibung,Description,
Einheit,Unité,
Preis,Prix unitaire,
Menge,Quantité,
Betrag,Montant,
Summe netto,Total net,
LSVA,RPLP,
VOC,COV,
MwSt,TVA,
Rundungsdifferenz,Arrondi,
Gesamtbetrag,Total,
Es gelten unsere allgemeinen Geschäftsbedingungen unter,Toute transaction est soumise à nos conditions générales de vente (CGV) disponibles sur notre site,
Besten Dank für Ihren Auftrag,Merci pour votre commande,
LSVA (*),RPLP (*),
MwSt 8.1%,TVA 8.1%,
Kommission,v/référence,
Auftraggeber,v/contact,
Avisierungsperson,v/contact,
Zusätzliche Beschreibung,Remarque,
Telefon Nr.,n°/téléphone,
Bestellung,Commande,
Bestelldatum,Date de commande,
Lieferdatum,Date de livraison,
Bestellgunspositionen,Détails de la commande,
Bezeichnung,Description,
Stückpreis,Prix unitaire,
Ware in einwandfreiem Zustand erhalten,Marchandises reçus en bon état,
Zahlungsmethode,Mode de paiement,
Unterschrift,Signature ,
Rechnung,Facture,
Kreditkarte,Carte de crédit,
Rechnungsdatum,Date de facturation,
Zahlbar bis,Délai de paiement,
Rechnungspositionen,Detail de la facture,
Lieferschein,Bulletin de livraison,
Auftraggeber,v/contact,
Kommission,v/référence,
Abtönung,Teinte,
Anzahlung,Acompte,
*LSVA,*RPLP,
Empfangsschein,Récépissé,
Konto / Zahlbar an,Compte / Payable à,
Referenz,Référence,
Währung,Monnaie,
Zahlteil,Section paiement,
Konto,Compte,
Zahlungsempfänger,Bénéficiaire,
Zusätzliche Informationen,Informations supplémentaires,
Zahlungspflichtiger,Payable par,
Zahlbar durch,Payable par,
Datum,Date,
Gesamtgewicht,Poids total,
